Stoppested;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt;Tidspunkt
Kimbrerfesten;17:00;18:00;19:00;23:00;00:00;01:00;02:00
Crazy Daisy;17:02;18:02;19:02;23:02;00:02;01:02;02:02
Foto-lab;17:05;18:05;19:05;23:05;00:05;01:05;02:05
Aars Svømmehal;17:07;18:07;19:07;23:07;00:07;01:07;02:07
Ingemannsvej;17:10;18:10;19:10;23:10;00:10;01:10;02:10
Hans Egedes Vej;17:12;18:12;19:12;23:12;00:12;01:12;02:12
Tvebjergvej;17:14;18:14;19:14;23:14;00:14;01:14;02:14
Hobrovej;17:17;18:17;19:17;23:17;00:17;01:17;02:17
Erhvervsskolerne;17:17;18:18;19:19;23:23;00:24;01:01;02:01
Kong Knuds Vej;17:20;18:20;19:20;23:20;00:20;01:20;02:20
Dronning Alexandrines Vej;17:22;18:22;19:22;23:22;00:22;01:22;02:22
Mejsevej;17:23;18:23;19:23;23:23;00:23;01:23;02:23
Musvitvej;17:17;18:18;19:19;23:23;00:24;01:01;02:01
Kimbrerfesten;17:26;18:26;19:26;23:26;00:26;01:26;02:26
